video_id,true_label,tracking_quality,feedback_flag,tube_visible_fraction,vocal_cords_visible_fraction,epiglottis_visible_fraction,esophagus_visible_fraction,tube_to_vocal_cords_near_fraction,tube_to_vocal_cords_min_distance,tube_to_esophagus_near_fraction,tube_to_esophagus_min_distance,tube_motion_max_step,feedback_reasons
1.RG,1,0.0,limited_anatomy_evidence,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords rarely visible
10.MB,0,0.0,limited_anatomy_evidence,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords rarely visible
11.MG,1,0.22698268003646307,limited_anatomy_evidence,0.0,0.22698268003646307,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
12.MB,0,0.0,limited_anatomy_evidence,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords rarely visible
13.MB,0,0.09728978457261987,limited_anatomy_evidence,0.0,0.09728978457261987,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
14.RG,1,0.4318734793187348,limited_anatomy_evidence,0.0072992700729927005,0.4318734793187348,0.0,0.0,0.0,1.0,0.0,1.0,0.012877098037608848,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
15.LB,0,0.058922558922558925,limited_anatomy_evidence,0.006172839506172839,0.058922558922558925,0.0,0.0,0.0,1.0,0.0,1.0,0.0025771397229169867,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
16.RB,0,0.004297114794352364,limited_anatomy_evidence,0.0,0.004297114794352364,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords rarely visible
17.RB,0,0.020257826887661142,limited_anatomy_evidence,0.0055248618784530384,0.020257826887661142,0.0,0.0,0.0,1.0,0.0,1.0,0.0051969100951410815,ET tube rarely visible | vocal cords rarely visible
18.RG,1,0.08687258687258688,limited_anatomy_evidence,0.0,0.08687258687258688,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
19.LG,1,0.004922644163150493,limited_anatomy_evidence,0.0,0.004922644163150493,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords rarely visible
2.MG,1,0.3766478342749529,limited_anatomy_evidence,0.0,0.3766478342749529,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
20.MG,1,0.0,limited_anatomy_evidence,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords rarely visible
21.RG,1,0.2659279778393352,limited_anatomy_evidence,0.0,0.2659279778393352,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
23.RG,1,0.008814102564102564,limited_anatomy_evidence,0.0,0.008814102564102564,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords rarely visible
25.RB,0,0.0,limited_anatomy_evidence,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords rarely visible
26.RB,0,0.005449591280653951,limited_anatomy_evidence,0.005449591280653951,0.0009082652134423251,0.0,0.0,0.0,1.0,0.0,1.0,0.08068514895182427,ET tube rarely visible | vocal cords rarely visible
27.RB,0,0.05339805825242718,limited_anatomy_evidence,0.0024271844660194173,0.05339805825242718,0.0,0.0,0.0,1.0,0.0,1.0,0.005087799449140082,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
28.CB,0,0.031791907514450865,limited_anatomy_evidence,0.008670520231213872,0.031791907514450865,0.0,0.0,0.0,1.0,0.0,1.0,0.03319974921845938,ET tube rarely visible | vocal cords rarely visible
29.CB,0,0.14881889763779527,uncertain_alignment,0.07007874015748032,0.14881889763779527,0.0,0.0,0.0,1.0,0.0,1.0,0.023235943431753645,ET tube visible in 7.0% of indexed frames | vocal cords visible but tube does not clearly approach them
3.LG,1,0.29292929292929293,limited_anatomy_evidence,0.0005611672278338945,0.29292929292929293,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
30.CB,0,0.3903177004538578,limited_anatomy_evidence,0.04387291981845688,0.3903177004538578,0.0,0.0,0.0,0.24102608440531884,0.0,1.0,0.022448406634889426,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
31.RB,0,0.18324607329842932,limited_anatomy_evidence,0.0,0.18324607329842932,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
32.RB,0,0.017163504968383016,limited_anatomy_evidence,0.0,0.017163504968383016,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords rarely visible
33.RB,0,0.14068100358422939,limited_anatomy_evidence,0.0008960573476702509,0.14068100358422939,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
34.MB,0,0.2592986184909671,uncertain_alignment,0.0871413390010627,0.2592986184909671,0.0,0.0,0.0,0.5061395072249135,0.0,1.0,0.0678068908469321,ET tube visible in 8.7% of indexed frames | vocal cords visible but tube does not clearly approach them
35.RB,0,0.05132192846034215,limited_anatomy_evidence,0.05132192846034215,0.0023328149300155523,0.0,0.0,0.0,1.0,0.0,1.0,0.06699505926662741,ET tube visible in 5.1% of indexed frames | vocal cords rarely visible
36.LB,0,0.11623439000960614,limited_anatomy_evidence,0.005763688760806916,0.11623439000960614,0.0,0.0,0.0,1.0,0.0,1.0,0.027480808746400753,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
37.LB,0,0.1973908111174135,limited_anatomy_evidence,0.014180374361883154,0.1973908111174135,0.0,0.0,0.0,1.0,0.0,1.0,0.06359922681698621,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
38.CB,0,0.030424799081515498,limited_anatomy_evidence,0.030424799081515498,0.025832376578645237,0.0,0.0,0.0,0.2965587201006013,0.0,1.0,0.05302950517306384,ET tube rarely visible | vocal cords rarely visible
39.LB,0,0.0249798549556809,limited_anatomy_evidence,0.0249798549556809,0.0040290088638195,0.0,0.0,0.0,1.0,0.0,1.0,0.08179921349517816,ET tube rarely visible | vocal cords rarely visible
4.RB,0,0.336734693877551,limited_anatomy_evidence,0.0,0.336734693877551,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
40.RG,1,0.5166204986149584,limited_anatomy_evidence,0.03462603878116344,0.5166204986149584,0.0,0.0,0.0,0.16324365798164067,0.0,1.0,0.014296193061014111,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
41.MG,1,0.3817204301075269,uncertain_alignment,0.08870967741935484,0.3817204301075269,0.0,0.0,0.0,0.23071266673075083,0.0,1.0,0.05764635464911745,ET tube visible in 8.9% of indexed frames | vocal cords visible but tube does not clearly approach them
43.RG,1,0.4197080291970803,uncertain_alignment,0.08759124087591241,0.4197080291970803,0.0,0.0,0.0,0.4914103942093158,0.0,1.0,0.02764316392619798,ET tube visible in 8.8% of indexed frames | vocal cords visible but tube does not clearly approach them
44.RG,1,0.4147727272727273,limited_anatomy_evidence,0.011363636363636364,0.4147727272727273,0.0,0.0,0.0,1.0,0.0,1.0,0.0117370442062439,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
45.MG,1,0.48184818481848185,uncertain_alignment,0.1485148514851485,0.48184818481848185,0.0,0.0,0.0,0.26129050615205573,0.0,1.0,0.047342406344032896,ET tube visible in 14.9% of indexed frames | vocal cords visible but tube does not clearly approach them
46.RG,1,0.5520628683693517,limited_anatomy_evidence,0.015717092337917484,0.5520628683693517,0.0,0.0,0.0,0.41358816787744823,0.0,1.0,0.06701911041528354,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
